published_at,decision,headline,source,urls,why_now,hook_suggested,cta_suggested
2025-09-25T03:06:41.599843+00:00,WATCH,"ONU vira palco de comédia, e um talk show vira palco de discurso político",www1.folha.uol.com.br,https://www1.folha.uol.com.br/colunas/lucia-guimaraes/2025/09/onu-vira-palco-de-comedia-e-um-talk-show-vira-palco-de-discurso-politico.shtml,tendência em redes/trends,Por que isso importa: impacto potencial na carteira e no planejamento.,Fale com a Angular para entender impactos no seu plano patrimonial.
2025-09-25T03:06:41.599806+00:00,WATCH,"Bolsonaro foi alertado de 'desvios, fraudes e irregularidades' no INSS durante transição, dizem peritos",www1.folha.uol.com.br,https://www1.folha.uol.com.br/mercado/2025/09/bolsonaro-foi-alertado-de-desvios-fraudes-e-irregularidades-no-inss-durante-transicao-dizem-peritos.shtml,tendência em redes/trends,Por que isso importa: impacto potencial na carteira e no planejamento.,Fale com a Angular para entender impactos no seu plano patrimonial.
2025-09-25T00:19:39+00:00,WATCH,Ibama aprova resultado do simulado da Petrobras na Foz do Amazonas e solicita ajustes,infomoney.com.br,https://www.infomoney.com.br/mercados/ibama-aprova-resultado-de-simulado-da-petrobras-na-foz-do-amazonas-pede-ajustes/,tendência em redes/trends; fonte de alta autoridade,Por que isso importa: petrobras resultado,Fale com a Angular para entender impactos no seu plano patrimonial.
2025-09-25T03:06:41.599362+00:00,WATCH,Palmeiras vence River Plate (3-1) e vai às semifinais da Libertadores,noticias.uol.com.br,https://noticias.uol.com.br/ultimas-noticias/afp/2025/09/24/palmeiras-vence-river-plate-3-1-e-vai-as-semifinais-da-libertadores-ercagaam.htm,relevância moderada,Por que isso importa: impacto potencial na carteira e no planejamento.,Fale com a Angular para entender impactos no seu plano patrimonial.
2025-09-25T00:12:24+00:00,DROP,Câmara aprova projeto que retira do arcabouço fiscal investimentos em saúde e educação financiados com Fundo Social,g1.globo.com,https://g1.globo.com/politica/noticia/2025/09/24/camara-aprova-projeto-que-retira-do-arcabouco-fiscal-investimentos-em-saude-e-educacao-financiados-com-fundo-social.ghtml,tendência em redes/trends,Por que isso importa: impacto potencial na carteira e no planejamento.,Fale com a Angular para entender impactos no seu plano patrimonial.
2025-09-25T03:04:43+00:00,DROP,"U.S. expands tariff dragnet to masks, syringes and robotics in sweeping import probe",cnbc.com,https://www.cnbc.com/2025/09/25/trump-tariff-threat-looms-over-robotics-and-medical-devices-section232-import-investigation.html,tendência em redes/trends,Por que isso importa: impacto potencial na carteira e no planejamento.,Fale com a Angular para entender impactos no seu plano patrimonial.
2025-09-25T00:35:29+00:00,DROP,Lotomania hoje: resultado do concurso 2827 e números sorteados,g1.globo.com,https://g1.globo.com/loterias/lotomania/noticia/2025/09/24/lotomania-hoje-resultado-do-concurso-2827-e-numeros-sorteados.ghtml,tendência em redes/trends,Por que isso importa: resultado,Fale com a Angular para entender impactos no seu plano patrimonial.
2025-09-25T00:34:00+00:00,DROP,Lotofácil 3495: confira as 15 dezenas sorteadas nesta quarta (24),infomoney.com.br,https://www.infomoney.com.br/consumo/lotofacil-3495-confira-as-15-dezenas-sorteadas-nesta-quarta-24/,fonte de alta autoridade,Por que isso importa: impacto potencial na carteira e no planejamento.,Fale com a Angular para entender impactos no seu plano patrimonial.
2025-09-25T03:06:41.599622+00:00,DROP,Feira em São Paulo traz queijos artesanais paulistas que foram premiados na França,guia.folha.uol.com.br,https://guia.folha.uol.com.br/restaurantes/2025/09/feira-em-sao-paulo-traz-queijos-artesanais-paulistas-que-foram-premiados-na-franca.shtml,relevância moderada,Por que isso importa: impacto potencial na carteira e no planejamento.,Fale com a Angular para entender impactos no seu plano patrimonial.
2025-09-24T23:30:53+00:00,DROP,Confira o resultado da Quina do concurso 6835 desta quarta (24),infomoney.com.br,https://www.infomoney.com.br/consumo/confira-o-resultado-da-quina-do-concurso-6835-desta-quarta-24/,alto alinhamento com a marca; fonte de alta autoridade,Por que isso importa: resultado,Fale com a Angular para entender impactos no seu plano patrimonial.
